Disease,Contagious,Cause_of_Disease,Medication_Required,Hospitalisation_Needed,Care_Recommendations,Chronic_Condition,Average_Recovery_Time_Weeks
Hypergammaglobulinemia,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",Yes,12
Pregnancy-Induced Hypertension,FALSE,Hormonal and physiological changes during pregnancy,Medication only under obstetric supervision,No,"Eat iron and calcium-rich foods, stay hydrated, avoid stress and heavy physical activity",Yes,12
Chorioretinitis,FALSE,"Increased eye pressure, genetics, or age-related degeneration","Eye drops, surgery, or ophthalmic medication",No,"Protect eyes from strain, maintain vitamin A-rich diet, avoid excessive screen time",Yes,12
Open-Angle Glaucoma,FALSE,"Increased eye pressure, genetics, or age-related degeneration","Eye drops, surgery, or ophthalmic medication",No,"Protect eyes from strain, maintain vitamin A-rich diet, avoid excessive screen time",Yes,12
Cranial Nerve Palsy,FALSE,"Increased eye pressure, genetics, or age-related degeneration","Eye drops, surgery, or ophthalmic medication",No,"Protect eyes from strain, maintain vitamin A-rich diet, avoid excessive screen time",Yes,12
Corneal Abrasion,FALSE,"Increased eye pressure, genetics, or age-related degeneration","Eye drops, surgery, or ophthalmic medication",No,"Protect eyes from strain, maintain vitamin A-rich diet, avoid excessive screen time",Yes,12
Hiatal Hernia,FALSE,"Cardiovascular dysfunction, blocked arteries, or high blood pressure","Blood pressure medication, anticoagulants, or cardiac medication",Yes,"Low-salt diet, avoid fatty foods and smoking, perform light exercise only under medical guidance",Yes,12
Type 2 Diabetes,TRUE,Insulin resistance or insufficient insulin production,Insulin or oral antidiabetic medication,No,"Follow a low-sugar balanced diet, exercise moderately, avoid sugary foods, monitor blood sugar regularly",Yes,12
Uterine Fibroids,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",Yes,12
Angle-Closure Glaucoma,FALSE,"Increased eye pressure, genetics, or age-related degeneration","Eye drops, surgery, or ophthalmic medication",No,"Protect eyes from strain, maintain vitamin A-rich diet, avoid excessive screen time",Yes,12
Chronic Headache,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",Yes,12
Acute Kidney Injury,TRUE,Physical trauma or accident,"Pain relievers, antibiotics, or surgery depending on severity",Yes,"Rest the affected area, consume protein and calcium-rich food, avoid heavy activity, and follow rehabilitation advice",Yes,12
Scarlet Fever,TRUE,"Skin irritation, infection, allergy, or autoimmune response","Topical creams, antihistamines, or prescribed dermatological medication",No,"Keep skin clean, avoid harsh soaps and allergens, eat vitamin-rich food, and avoid scratching affected areas",No,3
Thoracic Aortic Aneurysm,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",Yes,12
Scleroderma,FALSE,"Skin irritation, infection, allergy, or autoimmune response","Topical creams, antihistamines, or prescribed dermatological medication",No,"Keep skin clean, avoid harsh soaps and allergens, eat vitamin-rich food, and avoid scratching affected areas",Yes,12
Bone Spur of the Calcaneus,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",Yes,12
Ethylene glycol poisoning-2,FALSE,"Cardiovascular dysfunction, blocked arteries, or high blood pressure","Blood pressure medication, anticoagulants, or cardiac medication",Yes,"Low-salt diet, avoid fatty foods and smoking, perform light exercise only under medical guidance",Yes,12
Pica,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",Yes,12
Induced Abortion,TRUE,Hormonal and physiological changes during pregnancy,Medication only under obstetric supervision,No,"Eat iron and calcium-rich foods, stay hydrated, avoid stress and heavy physical activity",Yes,12
Tension Headache,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",No,4
Tuberculosis,TRUE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",Yes,12
Urethral Valves,FALSE,Viral or bacterial infection,Antibiotics or antiviral medication as prescribed by a doctor,No,"Drink plenty of fluids, consume light nutritious meals, avoid oily food, rest adequately, and avoid strenuous activity",Yes,12
Hashimoto Thyroiditis,TRUE,"Psychological, neurological, genetic, or environmental factors","Therapy, counseling, or psychiatric medication if prescribed",No,"Maintain healthy routine, sleep properly, avoid stress triggers, eat balanced meals, and engage in mild physical activity",Yes,24
Parkinson Disease,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",Yes,12
Cryptorchidism,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",Yes,12
Mucocele,FALSE,Viral or bacterial infection,Antibiotics or antiviral medication as prescribed by a doctor,No,"Drink plenty of fluids, consume light nutritious meals, avoid oily food, rest adequately, and avoid strenuous activity",No,2
Empyema,TRUE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",No,4
Abdominal Hernia,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",Yes,12
Hemarthrosis,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",No,4
Pregnancy-Related Back Pain,FALSE,Hormonal and physiological changes during pregnancy,Medication only under obstetric supervision,No,"Eat iron and calcium-rich foods, stay hydrated, avoid stress and heavy physical activity",Yes,12
Muscle Spasm,FALSE,Viral or bacterial infection,Antibiotics or antiviral medication as prescribed by a doctor,No,"Drink plenty of fluids, consume light nutritious meals, avoid oily food, rest adequately, and avoid strenuous activity",Yes,12
Diverticulosis,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",Yes,12
Dry Skin,FALSE,"Skin irritation, infection, allergy, or autoimmune response","Topical creams, antihistamines, or prescribed dermatological medication",No,"Keep skin clean, avoid harsh soaps and allergens, eat vitamin-rich food, and avoid scratching affected areas",No,3
Alcohol Use Disorder,FALSE,"Psychological, neurological, genetic, or environmental factors","Therapy, counseling, or psychiatric medication if prescribed",No,"Maintain healthy routine, sleep properly, avoid stress triggers, eat balanced meals, and engage in mild physical activity",Yes,24
Muscular Dystrophy,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",Yes,12
Vaginal Yeast Infection,FALSE,"Skin irritation, infection, allergy, or autoimmune response","Topical creams, antihistamines, or prescribed dermatological medication",No,"Keep skin clean, avoid harsh soaps and allergens, eat vitamin-rich food, and avoid scratching affected areas",Yes,12
Osteoporosis,FALSE,Physical trauma or accident,"Pain relievers, antibiotics, or surgery depending on severity",Yes,"Rest the affected area, consume protein and calcium-rich food, avoid heavy activity, and follow rehabilitation advice",Yes,12
Syndrome of Inappropriate Secretion of ADH (SIADH),FALSE,Viral or bacterial infection,Antibiotics or antiviral medication as prescribed by a doctor,No,"Drink plenty of fluids, consume light nutritious meals, avoid oily food, rest adequately, and avoid strenuous activity",Yes,12
Myasthenia Gravis,TRUE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",Yes,12
Torticollis,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",Yes,12
Complex Regional Pain Syndrome (CRPS),FALSE,"Skin irritation, infection, allergy, or autoimmune response","Topical creams, antihistamines, or prescribed dermatological medication",No,"Keep skin clean, avoid harsh soaps and allergens, eat vitamin-rich food, and avoid scratching affected areas",Yes,12
Gastroenteritis (Stomach Flu),TRUE,Viral or bacterial infection,Antibiotics or antiviral medication as prescribed by a doctor,No,"Drink plenty of fluids, consume light nutritious meals, avoid oily food, rest adequately, and avoid strenuous activity",Yes,12
Scleritis,FALSE,"Increased eye pressure, genetics, or age-related degeneration","Eye drops, surgery, or ophthalmic medication",No,"Protect eyes from strain, maintain vitamin A-rich diet, avoid excessive screen time",Yes,12
Cirrhosis,TRUE,Physical trauma or accident,"Pain relievers, antibiotics, or surgery depending on severity",Yes,"Rest the affected area, consume protein and calcium-rich food, avoid heavy activity, and follow rehabilitation advice",Yes,12
Lung Contusion,TRUE,Physical trauma or accident,"Pain relievers, antibiotics, or surgery depending on severity",Yes,"Rest the affected area, consume protein and calcium-rich food, avoid heavy activity, and follow rehabilitation advice",Yes,12
Corneal Disorder,FALSE,"Increased eye pressure, genetics, or age-related degeneration","Eye drops, surgery, or ophthalmic medication",No,"Protect eyes from strain, maintain vitamin A-rich diet, avoid excessive screen time",Yes,12
Mucoepidermoid carcinoma,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",Yes,12
Carpal Tunnel Syndrome,FALSE,Viral or bacterial infection,Antibiotics or antiviral medication as prescribed by a doctor,No,"Drink plenty of fluids, consume light nutritious meals, avoid oily food, rest adequately, and avoid strenuous activity",No,2
Macular Degeneration,FALSE,"Increased eye pressure, genetics, or age-related degeneration","Eye drops, surgery, or ophthalmic medication",No,"Protect eyes from strain, maintain vitamin A-rich diet, avoid excessive screen time",Yes,12
Atrophic vaginitis,FALSE,Viral or bacterial infection,Antibiotics or antiviral medication as prescribed by a doctor,No,"Drink plenty of fluids, consume light nutritious meals, avoid oily food, rest adequately, and avoid strenuous activity",Yes,12
Osteochondrosis,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",Yes,12
Chronic Inflammatory Demyelinating Polyneuropathy (CIDP),FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",Yes,12
Parasitic Infections,FALSE,Viral or bacterial infection,Antibiotics or antiviral medication as prescribed by a doctor,No,"Drink plenty of fluids, consume light nutritious meals, avoid oily food, rest adequately, and avoid strenuous activity",Yes,12
Normal Pressure Hydrocephalus,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",Yes,12
Kidney Stone,FALSE,Viral or bacterial infection,Antibiotics or antiviral medication as prescribed by a doctor,No,"Drink plenty of fluids, consume light nutritious meals, avoid oily food, rest adequately, and avoid strenuous activity",Yes,12
Pituitary Disorder,FALSE,"Psychological, neurological, genetic, or environmental factors","Therapy, counseling, or psychiatric medication if prescribed",No,"Maintain healthy routine, sleep properly, avoid stress triggers, eat balanced meals, and engage in mild physical activity",Yes,24
Pinguecula,FALSE,"Increased eye pressure, genetics, or age-related degeneration","Eye drops, surgery, or ophthalmic medication",No,"Protect eyes from strain, maintain vitamin A-rich diet, avoid excessive screen time",Yes,12
Influenza (Flu),TRUE,Viral or bacterial infection,Antibiotics or antiviral medication as prescribed by a doctor,No,"Drink plenty of fluids, consume light nutritious meals, avoid oily food, rest adequately, and avoid strenuous activity",Yes,12
Cat Scratch Disease,TRUE,"Skin irritation, infection, allergy, or autoimmune response","Topical creams, antihistamines, or prescribed dermatological medication",No,"Keep skin clean, avoid harsh soaps and allergens, eat vitamin-rich food, and avoid scratching affected areas",No,3
Hyperemesis Gravidarum,FALSE,Hormonal and physiological changes during pregnancy,Medication only under obstetric supervision,No,"Eat iron and calcium-rich foods, stay hydrated, avoid stress and heavy physical activity",Yes,12
Diabetic retinopathy,FALSE,"Increased eye pressure, genetics, or age-related degeneration","Eye drops, surgery, or ophthalmic medication",No,"Protect eyes from strain, maintain vitamin A-rich diet, avoid excessive screen time",Yes,12
Aplastic Anemia,TRUE,Physical trauma or accident,"Pain relievers, antibiotics, or surgery depending on severity",Yes,"Rest the affected area, consume protein and calcium-rich food, avoid heavy activity, and follow rehabilitation advice",Yes,12
Wilson Disease,TRUE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",Yes,12
