Disease,Symptoms,Medical_Test_Results,Possible_Patient_History,Lifestyle_Factors
Balanitis,"Inflammation of the glans penis (tip of the penis), redness, swelling, pain",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Ectopic Pregnancy,"Vaginal bleeding, abdominal pain or cramping, shoulder pain (if the fallopian tube ruptures)",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Atelectasis,"Difficulty breathing, rapid breathing, chest pain",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Anorexia Nervosa,"Extreme weight loss, fear of gaining weight, distorted body image",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Hypergammaglobulinemia,"Elevated levels of gamma globulins in the blood, may be asymptomatic or associated with other underlying conditions",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Pregnancy-Induced Hypertension,High blood pressure during pregnancy,Hormonal changes and pregnancy-related blood test abnormalities,Current or previous pregnancy-related complications,"Poor nutrition, stress, lack of prenatal care"
Chorioretinitis,"Eye pain, blurred vision, sensitivity to light",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Open-Angle Glaucoma,"Gradual loss of peripheral vision, tunnel vision",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Cranial Nerve Palsy,"Depends on the specific cranial nerve involved; symptoms can include vision changes, eye movement abnormalities, facial weakness or paralysis, difficulty swallowing or speaking, loss of sensation in the face or other areas",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Corneal Abrasion,"Eye pain, redness, foreign body sensation, sensitivity to light",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Hiatal Hernia,"Heartburn, chest pain, difficulty swallowing","Abnormal ECG, elevated blood pressure, cholesterol imbalance, or imaging abnormalities","History of chest pain, hypertension, smoking, or previous cardiac events","Smoking, high-fat diet, stress, alcohol consumption, lack of physical activity"
Type 2 Diabetes,"increased thirst, frequent urination, fatigue",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Uterine Fibroids,"Heavy or prolonged menstrual periods, pelvic pain or pressure, frequent urination, difficulty emptying the bladder, constipation, backache, leg pain, enlarged abdomen or uterus, infertility or recurrent miscarriages (in some cases)",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Angle-Closure Glaucoma,"Severe eye pain, headache, blurred vision, halos around lights, nausea and vomiting",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Chronic Headache,"Persistent head pain, tension in neck and shoulders",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Acute Kidney Injury,"Decreased urine output, fluid retention, fatigue","Elevated white blood cell count, positive culture, or viral antigen tests",Recent exposure to infected individuals or weakened immunity,"Poor hygiene, inadequate sleep, poor nutrition, crowded environments"
Scarlet Fever,"Sore throat, fever, rash (red, sandpaper-like), swollen glands","Visible skin lesions, irritation, or positive dermatological examination","Past skin allergies, infections, or family history of skin disease","Poor hygiene, allergen exposure, stress, unhealthy skin care habits"
Thoracic Aortic Aneurysm,"Chest or back pain, shortness of breath, hoarseness, difficulty swallowing",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Scleroderma,"Thickening of the skin, Raynaud's phenomenon","Visible skin lesions, irritation, or positive dermatological examination","Past skin allergies, infections, or family history of skin disease","Poor hygiene, allergen exposure, stress, unhealthy skin care habits"
Bone Spur of the Calcaneus,"Heel pain, especially when walking or standing, tenderness, swelling, inflammation of the surrounding tissue",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Ethylene glycol poisoning-2,"Metabolic acidosis, apid breathing, rapid heart rate, confusion, headache, dizziness, seizures","Abnormal ECG, elevated blood pressure, cholesterol imbalance, or imaging abnormalities","History of chest pain, hypertension, smoking, or previous cardiac events","Smoking, high-fat diet, stress, alcohol consumption, lack of physical activity"
Pica,Persistent consumption of non-food substances,Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Induced Abortion,"Vaginal bleeding, cramping, abdominal pain, nausea, fatigue, emotional distress",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Tension Headache,"Mild to moderate head pain, tightness or pressure sensation on both sides of head",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Tuberculosis,"cough, weight loss, fever, night sweats","Elevated white blood cell count, positive culture, or viral antigen tests",Recent exposure to infected individuals or weakened immunity,"Poor hygiene, inadequate sleep, poor nutrition, crowded environments"
Urethral Valves,"Difficulty or poor urinary stream, urinary tract infections, urinary frequency or urgency, abdominal distension, poor weight gain","Elevated white blood cell count, positive culture, or viral antigen tests",Recent exposure to infected individuals or weakened immunity,"Poor hygiene, inadequate sleep, poor nutrition, crowded environments"
Hashimoto Thyroiditis,"Fatigue, weight gain, constipation, dry skin, depression, muscle aches and stiffness, sensitivity to cold","Visible skin lesions, irritation, or positive dermatological examination","Past skin allergies, infections, or family history of skin disease","Poor hygiene, allergen exposure, stress, unhealthy skin care habits"
Parkinson Disease,"Tremors, stiffness, slowness of movement",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Cryptorchidism,"Absence or undescended testicle(s), empty scrotum, smaller or underdeveloped testicle(s), inguinal hernia, abnormal positioning of the testicle(s) (higher in the groin area)",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Mucocele,Painless fluid-filled swelling in the oral cavity,"Elevated white blood cell count, positive culture, or viral antigen tests",Recent exposure to infected individuals or weakened immunity,"Poor hygiene, inadequate sleep, poor nutrition, crowded environments"
Empyema,"Fever, chest pain, productive cough with foul-smelling or bloody sputum","Elevated white blood cell count, positive culture, or viral antigen tests",Recent exposure to infected individuals or weakened immunity,"Poor hygiene, inadequate sleep, poor nutrition, crowded environments"
Abdominal Hernia,"Visible bulge or swelling, discomfort or pain",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Hemarthrosis,"Joint swelling, pain, warmth, limited range of motion","X-ray, MRI, or inflammatory marker abnormalities","Previous injuries, aging-related degeneration, chronic pain","Poor posture, obesity, lack of calcium, excessive strain"
Pregnancy-Related Back Pain,"Lower back pain, discomfort in the pelvic area",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Muscle Spasm,"Sudden, involuntary muscle contractions, muscle pain, stiffness, limited range of motion",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Diverticulosis,"Abdominal pain, bloating, changes in bowel movements",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Dry Skin,"Dry, flaky skin with itching","Visible skin lesions, irritation, or positive dermatological examination","Past skin allergies, infections, or family history of skin disease","Poor hygiene, allergen exposure, stress, unhealthy skin care habits"
Alcohol Use Disorder,"Cravings for alcohol, inability to control or limit alcohol consumption, withdrawal symptoms (such as tremors, anxiety, sweating) when attempting to stop or reduce alcohol use, continued use despite negative consequences (such as relationship problems, health issues), neglecting responsibilities, tolerance to alcohol",Psychological evaluation and behavioral assessment findings,"Past mental health issues, trauma, stress, or family history","Sleep deprivation, stress, social isolation, substance abuse"
Muscular Dystrophy,"Progressive muscle weakness and degeneration, difficulty walking or moving, muscle wasting",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Vaginal Yeast Infection,"Itching and irritation in the vagina and vulva, redness and swelling of the vulva, white, thick, clumpy vaginal discharge (resembling cottage cheese), burning sensation during urination, pain during sexual intercourse, rash or soreness in the affected area","Visible skin lesions, irritation, or positive dermatological examination","Past skin allergies, infections, or family history of skin disease","Poor hygiene, allergen exposure, stress, unhealthy skin care habits"
Osteoporosis,"Fragile bones, loss of height over time, back pain, fractures","X-ray, MRI, or inflammatory marker abnormalities","Previous injuries, aging-related degeneration, chronic pain","Poor posture, obesity, lack of calcium, excessive strain"
Syndrome of Inappropriate Secretion of ADH (SIADH),"Excessively concentrated urine, low blood sodium levels",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Myasthenia Gravis,"Muscle weakness, fatigue, difficulty speaking",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Torticollis,"Neck pain, stiffness, and abnormal head positioning",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Complex Regional Pain Syndrome (CRPS),"Intense burning pain, swelling, changes in skin temperature","Visible skin lesions, irritation, or positive dermatological examination","Past skin allergies, infections, or family history of skin disease","Poor hygiene, allergen exposure, stress, unhealthy skin care habits"
Gastroenteritis (Stomach Flu),"Nausea, vomiting, diarrhea, abdominal pain or cramps, fever","Elevated white blood cell count, positive culture, or viral antigen tests",Recent exposure to infected individuals or weakened immunity,"Poor hygiene, inadequate sleep, poor nutrition, crowded environments"
Scleritis,"Eye redness, severe eye pain, blurred vision",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Cirrhosis,"Fatigue, jaundice, abdominal swelling (ascites), easy bruising and bleeding, confusion, loss of appetite, weight loss",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Lung Contusion,"Chest pain (sharp or dull), difficulty breathing or shortness of breath, rapid or shallow breathing, coughing up blood or pink-tinged sputum, decreased oxygen levels, wheezing, cyanosis (bluish discoloration of the skin), chest wall bruising, rib fractures (associated injuries)","Visible skin lesions, irritation, or positive dermatological examination","Past skin allergies, infections, or family history of skin disease","Poor hygiene, allergen exposure, stress, unhealthy skin care habits"
Corneal Disorder,"Blurred or hazy vision, eye pain or discomfort, redness or irritation of the eye, excessive tearing, sensitivity to light (photophobia), foreign body sensation, dryness or excessive tearing, corneal abrasions or ulcers, distorted or irregular corneal shape, vision loss",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Mucoepidermoid carcinoma,"Lump, swelling, Difficulty, pain when swallowing and speaking, Facial weakness, Facial paralysis ",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Carpal Tunnel Syndrome,"Tingling, numbness, and pain in the hand and fingers",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Macular Degeneration,"Blurred or distorted central vision, blind spots",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Atrophic vaginitis,"Vaginal dryness, Vaginal burning, frequent urination, urinary tract infections, Painful intercourse","Elevated white blood cell count, positive culture, or viral antigen tests",Recent exposure to infected individuals or weakened immunity,"Poor hygiene, inadequate sleep, poor nutrition, crowded environments"
Osteochondrosis,"Joint pain, stiffness, swelling, reduced range of motion","X-ray, MRI, or inflammatory marker abnormalities","Previous injuries, aging-related degeneration, chronic pain","Poor posture, obesity, lack of calcium, excessive strain"
Chronic Inflammatory Demyelinating Polyneuropathy (CIDP),"Weakness, numbness, tingling in limbs",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Parasitic Infections,"Intense itching, visible lice or nits in the affected area",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
