text,label
"Wishing you a very happy birthday and a wonderful year ahead.",personal
"It was really nice catching up with you after such a long time.",personal
"Hope you and your family are doing well and staying healthy.",personal
"Let’s plan a short trip together during the upcoming holidays.",personal
"Congratulations on your recent achievement, I’m so proud of you.",personal
"Thank you for always supporting me during difficult times.",personal
"Can we reschedule dinner plans for tomorrow evening instead?",personal
"I really enjoyed spending time with everyone at the reunion.",personal
"Hope your exams went smoothly and you’re feeling relaxed now.",personal
"Sending warm wishes to you and your family for the festive season.",personal
"It feels great to reconnect with old college friends again.",personal
"Please take care of yourself and don’t stress too much about work.",personal
"I miss our late-night conversations and random jokes.",personal
"Looking forward to celebrating your success together very soon.",personal
"Thanks again for helping me prepare for the interview.",personal
"Hope you recover quickly and start feeling better soon.",personal
"Let’s organize a family gathering sometime next month.",personal
"It was lovely meeting your parents during the function yesterday.",personal
"Take care and stay in touch whenever you get time.",personal
